,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
31007,Leeward Islands,,2021,0.0,,,,,,,0.0
31274,Lesotho,LSO,2016,2.213056,1.564528,0.648528,0.0,0.0,0.0,,1.032271
31275,Lesotho,LSO,2017,2.513504,1.857648,0.655856,0.0,0.0,0.0,,1.157968
31276,Lesotho,LSO,2018,2.370608,1.681776,0.688832,0.0,0.0,0.0,,1.078521
31277,Lesotho,LSO,2019,2.388928,1.670784,0.718144,0.0,0.0,0.0,,1.073337
31278,Lesotho,LSO,2020,2.188045,1.50173,0.686314,0.0,0.0,0.0,,0.970695
31279,Lesotho,LSO,2021,2.282165,1.5822,0.699965,0.0,0.0,0.0,,1.000312
31546,Liberia,LBR,2016,1.353802,0.0,1.260416,0.0,0.093386,0.0,,0.28767
31547,Liberia,LBR,2017,1.227956,0.0,1.11752,0.0,0.110436,0.0,,0.256004
31548,Liberia,LBR,2018,1.081641,0.0,0.959968,0.0,0.121673,0.0,,0.221222
31549,Liberia,LBR,2019,1.106372,0.0,0.974624,0.0,0.131748,0.0,,0.221927
31550,Liberia,LBR,2020,1.127383,0.0,0.995636,0.0,0.131748,0.0,,0.221595
31551,Liberia,LBR,2021,1.19526,0.0,1.063512,0.0,0.131748,0.0,,0.230149
31818,Libya,LBY,2016,51.649399,0.0,25.54732,20.1323,1.588721,4.381058,,8.221552
31819,Libya,LBY,2017,53.437015,0.0,26.193936,18.151456,1.743719,7.347905,,8.377991
31820,Libya,LBY,2018,54.0158,0.0,25.933792,17.535904,1.743719,8.802386,,8.338612
31821,Libya,LBY,2019,69.243504,0.0,42.114016,15.868784,1.627471,9.633233,,10.540809
31822,Libya,LBY,2020,58.565147,0.0,37.008161,15.278978,1.627471,4.650537,,8.801572
31823,Libya,LBY,2021,74.525079,0.0,44.3296,17.290753,1.627471,11.277255,,11.064887
32090,Liechtenstein,LIE,2016,0.149838,0.0,0.098863,0.050975,0.0,0.0,0.0,3.984106
32091,Liechtenstein,LIE,2017,0.155769,0.0,0.102288,0.053481,0.0,0.0,0.0,4.111204
32092,Liechtenstein,LIE,2018,0.14295,0.0,0.093291,0.049659,0.0,0.0,0.0,3.744019
32093,Liechtenstein,LIE,2019,0.149026,0.0,0.098729,0.050296,0.0,0.0,0.0,3.872608
32094,Liechtenstein,LIE,2020,0.141996,0.0,0.093475,0.048521,0.0,0.0,0.0,3.663848
32095,Liechtenstein,LIE,2021,0.15095,0.0,0.095377,0.055573,0.0,0.0,0.0,3.866656
32362,Lithuania,LTU,2016,13.351177,0.748809,7.677032,4.148532,0.452401,0.250769,0.073634,4.551011
32363,Lithuania,LTU,2017,13.571834,0.801037,7.763691,4.278543,0.450351,0.224225,0.053986,4.672772
32364,Lithuania,LTU,2018,13.691349,0.85889,8.078841,3.949079,0.511329,0.253596,0.039615,4.760341
32365,Lithuania,LTU,2019,13.923306,0.800845,8.192743,4.081111,0.578055,0.233942,0.036609,4.886943
32366,Lithuania,LTU,2020,13.653155,0.621598,8.021318,4.242133,0.556685,0.18161,0.02981,4.841086
32367,Lithuania,LTU,2021,13.880837,0.731517,8.376843,4.00437,0.556685,0.18161,0.02981,4.981189
32634,Luxembourg,LUX,2016,9.089235,0.294294,6.68528,1.681755,0.351368,4.2e-05,0.076495,15.581073
32635,Luxembourg,LUX,2017,9.261198,0.282571,6.874153,1.656906,0.370699,4.2e-05,0.076827,15.531547
32636,Luxembourg,LUX,2018,9.566671,0.267196,7.243558,1.60891,0.369492,4.1e-05,0.077475,15.736909
32637,Luxembourg,LUX,2019,9.751728,0.274406,7.395905,1.608057,0.394793,4.1e-05,0.078527,15.729279
32638,Luxembourg,LUX,2020,8.096513,0.237493,5.94124,1.469367,0.399139,3.7e-05,0.049238,12.843474
32639,Luxembourg,LUX,2021,8.354555,0.20919,6.125559,1.571392,0.399139,3.7e-05,0.049238,13.067857
