date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-11-11,PH,-46,-22,-33,-56,-38,22
2021-07-04,RO,6,17,68,0,-1,-8
2021-08-13,AG,19,21,73,-25,-20,-10
2021-12-18,AO,71,61,90,60,27,-10
2021-02-14,AW,0,-7,53,-54,-10,-8
2021-07-30,AW,19,15,67,-33,-15,-8
2021-06-01,AW,14,10,64,-34,-3,-9
2021-03-16,AW,-10,-3,34,-54,-8,-8
2021-02-20,BA,-12,4,-6,-24,-13,-8
2021-06-19,BA,-3,21,43,-7,-15,-16
2022-08-02,BB,-18,-46,128,-40,-70,20
2021-06-29,BB,2,7,28,-33,-18,-9
2022-04-28,BF,126,194,274,93,98,23
2021-06-27,BG,5,13,116,35,-1,-12
2022-03-29,BJ,70,156,282,9,69,20
2022-04-25,BJ,70,166,303,31,68,20
2021-09-16,BS,-6,2,15,-27,-39,-11
2021-11-01,BS,0,3,22,-15,-22,-12
2021-04-04,BS,-35,-30,9,-46,-29,-9
2021-09-30,BS,-3,7,15,-17,-22,-10
2021-03-29,CL,-50,-17,-55,-42,-27,20
2022-08-22,CV,37,41,74,43,-19,24
2021-04-05,DK,-54,-27,50,-57,-81,21
2021-01-09,DO,-61,-34,-57,-49,-45,20
2021-05-12,FJ,-33,8,-34,-54,-50,32
2021-06-10,GA,13,24,86,15,-1,-13
2021-09-25,GA,24,26,123,27,-7,-12
2021-01-20,GB,-65,-28,-35,-66,-51,21
2021-02-02,GB,-61,-24,-13,-62,-51,20
2022-06-24,GH,45,73,54,42,27,22
2022-08-17,GH,61,93,64,43,27,27
2022-04-06,GH,47,72,49,37,32,21
2020-09-15,HN,-59,-45,-36,-67,-57,20
2022-09-06,HT,44,28,79,36,5,23
2021-01-05,IT,-47,5,-45,-58,-49,20
2021-02-18,JO,-58,-36,-52,-70,-73,27
2020-07-08,KW,-39,-29,-38,-43,-40,21
2021-07-18,KZ,-28,-2,31,49,-25,-8
2021-08-28,LB,-18,25,12,-10,-26,-11
2021-05-16,LB,-7,30,39,-20,-19,-9
2022-01-17,LK,-2,20,49,-16,-69,21
2020-11-13,LK,-48,-23,-35,-46,-42,29
2021-07-04,LT,-5,47,221,8,18,-12
2021-07-03,LV,-1,18,141,0,3,-8
2021-07-25,LV,13,29,245,14,15,-12
2021-07-08,LY,105,144,139,58,21,-11
2021-12-03,MD,-6,5,-13,-16,-11,-8
2021-12-04,ML,45,79,135,42,17,-8
2021-06-11,ML,31,69,68,15,5,-14
2021-07-31,ML,24,59,67,19,-2,-10
2022-04-21,ML,56,92,233,77,59,25
2021-05-28,ML,27,69,64,14,1,-12
2021-08-04,MM,-63,-39,-44,-57,-64,29
2020-10-13,MM,-57,-36,-40,-58,-49,29
2021-11-18,MM,-34,-17,-10,-39,-67,22
2021-09-11,MM,-57,-35,-42,-53,-40,23
2021-07-12,MM,-60,-35,-39,-54,-53,25
2022-04-25,MM,-18,6,45,-10,-3,20
2021-01-05,MN,-50,-8,-34,-40,-40,28
2020-12-28,MN,-40,9,-32,-35,-38,26
2021-12-18,MU,29,34,-10,-8,53,-8
2021-08-07,MU,11,15,-11,-20,32,-8
2021-01-01,MX,-68,-41,-51,-72,-74,23
2021-10-25,NA,21,46,-3,15,12,-10
2021-09-17,NE,75,55,56,62,-10,-9
2021-08-27,NE,79,66,48,63,-12,-9
2021-07-25,NE,55,-23,36,42,-17,-10
2021-03-08,NE,29,-30,12,26,-21,-8
2022-04-30,NE,144,124,165,170,63,26
2022-04-21,NG,65,60,70,51,29,26
2020-08-15,PA,-88,-84,-77,-86,-70,38
2021-02-28,PA,-84,-83,-78,-79,-55,25
2021-09-27,PH,-22,19,-5,-42,-28,21
2022-01-24,PH,-11,30,3,-35,-20,21
2022-07-08,RW,89,37,236,36,39,24
2021-01-08,RW,-7,-26,13,-30,-14,23
2021-12-31,SG,-5,19,-8,-25,-32,21
2021-06-04,SG,-41,-1,-25,-40,-31,29
2020-07-03,SV,-54,-29,-52,-60,-47,25
2022-04-01,TG,57,65,208,21,61,23
2022-04-19,TG,49,64,213,9,52,23
2022-06-13,UG,30,37,131,29,46,23
2022-08-22,UG,45,49,153,36,47,30
2022-04-19,VE,12,50,30,-21,-18,20
2020-11-24,VN,-18,2,-23,-4,14,-9
2021-04-30,CO,-46,4,-38,-37,-30,20
2022-08-13,EE,7,16,186,13,1,-8
2021-09-01,MY,-40,3,-32,-56,-36,24
2020-09-20,PE,-74,-62,-65,-75,-44,26
2020-09-15,PH,-44,-18,-22,-55,-41,22
2021-03-26,PH,-41,-6,-28,-55,-33,23
2020-09-25,PH,-50,-23,-33,-59,-39,25
2021-04-01,PH,-62,-21,-27,-72,-69,31
2021-07-25,AG,11,7,83,-24,-23,-10
2021-05-02,AG,-1,16,84,-45,-28,-11
2021-03-23,AW,-10,-1,34,-53,-8,-8
2021-11-12,AW,14,14,57,-27,5,-10
2021-07-04,AW,21,8,78,-32,-2,-12
2021-09-27,AW,12,13,69,-29,-4,-9
2021-08-24,BA,23,53,38,14,-17,-12
2021-10-02,BA,12,41,41,5,-6,-13
2021-12-02,BA,7,50,1,8,7,-10
2021-06-12,BA,3,29,46,3,-10,-15
2021-09-06,BA,15,46,28,20,-8,-14
2021-07-07,BB,6,7,30,-37,-23,-9
2022-07-31,BF,154,207,300,101,106,21
2022-04-17,BF,128,197,276,70,96,23
2022-06-04,BJ,64,177,281,17,68,21
2022-07-18,BJ,71,170,344,28,52,26
2020-07-28,BO,-46,-30,-40,-49,-40,22
2020-07-31,BO,-52,-30,-44,-53,-44,25
2021-10-05,BS,-6,0,13,-25,-24,-10
2020-08-16,BS,-92,-94,-74,-90,-70,26
2021-03-29,BS,-15,-6,21,-32,-26,-10
2021-07-21,BS,-4,0,13,-4,-22,-12
2021-08-21,BS,-13,-2,2,-13,-17,-11
2021-10-28,BS,0,6,17,0,-20,-11
2022-04-18,CI,44,89,76,38,-39,31
2022-06-27,CM,38,72,83,78,22,22
2020-07-22,EC,-35,-18,-36,-46,-41,21
2022-09-07,FJ,23,33,96,-32,-54,32
2021-08-23,FJ,4,20,-12,-41,-24,20
2021-04-05,GB,-47,-13,65,-65,-75,23
2022-07-13,HT,26,13,72,29,0,25
2022-02-07,HT,-22,-26,-15,-30,-43,20
2022-07-01,HT,46,40,65,49,11,20
2021-01-02,IT,-69,-36,-66,-68,-49,21
2022-08-19,KE,59,78,90,63,47,21
2021-08-12,KG,-12,0,-6,4,-44,-8
2021-07-10,KG,-23,-9,-5,-11,-34,-8
2021-06-06,KZ,-12,11,28,65,-15,-9
2021-09-28,LB,4,49,3,-3,-24,-9
2020-10-22,LK,-41,-14,-26,-36,-37,23
2020-11-17,LK,-46,-24,-33,-41,-41,24
2021-05-27,LK,-83,-80,-55,-80,-83,48
2021-06-28,MD,0,-1,15,-15,-31,-11
2021-05-02,MD,-56,-49,3,-52,-51,-14
2021-09-17,MD,5,15,2,-3,-24,-12
2021-07-09,MD,2,13,14,-14,-30,-12
2021-12-14,MD,2,10,-16,-6,-7,-8
2021-04-08,ML,10,44,39,8,-11,-9
2021-06-07,ML,39,37,91,19,5,-15
2021-06-17,ML,27,74,67,35,0,-14
2022-07-21,ML,67,106,265,82,39,24
2021-09-06,ML,40,41,102,52,-1,-10
2021-02-12,MM,-37,-19,-24,-30,-64,21
2021-10-11,MM,-42,-17,-26,-38,-41,20
2021-09-08,MM,-53,-26,-36,-49,-50,24
2021-07-17,MM,-70,-47,-48,-64,-63,28
2022-07-07,MM,-14,8,35,-11,9,21
2021-07-24,MN,36,121,84,62,63,-10
2021-03-02,MU,0,4,-15,-22,-17,-9
2021-03-21,MU,-91,-93,-86,-90,-72,20
2021-12-04,NA,46,64,22,29,18,-12
2021-09-15,NE,78,-7,52,67,-12,-10
2021-11-20,NE,77,40,56,52,2,-9
2022-04-16,NE,117,85,151,133,73,29
2021-06-17,NE,57,51,46,47,-6,-11
2022-06-22,NG,63,62,76,60,40,24
2022-04-01,NG,72,70,84,61,48,22
2021-04-05,NO,-72,-76,42,-61,-83,23
2021-05-27,NP,-62,-27,-38,-55,-58,22
2022-06-24,NZ,-1,10,-5,-48,-72,21
2020-09-16,PA,-45,-21,-39,-47,-39,21
2022-01-05,PH,-10,41,8,-33,-24,20
2021-08-15,PL,35,63,225,34,12,-9
2020-11-26,PR,-71,-59,-39,-63,-74,24
2021-02-05,PT,-63,-15,-56,-63,-48,25
2020-09-13,RS,-3,2,65,-4,-6,-8
2021-06-19,RU,-10,5,63,8,-21,-8
2021-07-09,RW,-10,-13,20,-32,-25,28
2021-11-05,SG,-21,0,-26,-31,-27,24
2020-08-12,SG,-26,-9,-24,-34,-30,20
2020-11-27,SI,-61,-23,-27,-57,-36,20
2022-07-11,SN,-15,4,66,-27,-71,30
2022-04-30,TG,61,79,227,24,61,23
2022-04-24,TG,46,43,168,7,56,28
2021-07-11,UA,-7,13,57,3,-14,-12
2021-07-23,UG,-49,-19,-23,-56,-27,30
2021-06-14,UG,-22,-3,-9,-46,-12,21
2022-05-19,UG,28,35,122,29,39,22
2022-07-06,UG,36,40,124,35,45,21
2021-03-10,VN,-12,5,-26,-16,6,-12
2021-04-26,VN,-11,9,-25,-10,11,-10
2021-08-09,ZA,-13,-2,1,-38,-73,28
2022-08-08,ZM,105,104,267,49,64,24
2020-08-13,ZW,-15,-6,-3,-31,-22,26
2021-09-14,MY,-36,7,-20,-52,-33,20
2021-08-12,MY,-46,-1,-37,-62,-41,29
2020-08-10,PE,-48,-28,-37,-53,-44,22
2020-09-22,PH,-46,-21,-23,-55,-41,22
2020-08-07,PH,-59,-34,-34,-69,-46,28
2021-03-18,PH,-35,-2,-20,-48,-33,20
2021-03-25,PH,-40,-5,-24,-52,-35,22
2021-04-23,PH,-41,-4,-29,-55,-33,25
2021-04-20,AG,-14,2,55,-41,-26,-8
2021-11-18,AO,59,55,96,42,23,-9
2021-12-11,AO,62,51,85,58,26,-9
2021-10-15,AW,8,11,54,-31,3,-11
2021-05-11,AW,-2,0,43,-45,-4,-9
2021-06-29,BA,3,27,25,4,-18,-14
2021-02-24,BA,-10,16,-10,-12,-10,-8
2020-11-11,BE,-67,-58,87,-59,-79,25
2022-08-17,BF,133,208,294,99,66,32
2022-04-09,BF,110,176,288,73,115,24
2022-04-09,BJ,66,180,278,17,73,21
2022-07-19,BJ,64,155,305,11,51,34
2022-04-11,BJ,73,174,300,24,59,22
2020-07-25,BS,-86,-43,-66,-84,-66,30
2020-08-08,BS,-88,-56,-66,-87,-69,31
